station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
CN.PHC,-127.43299999999999,50.707,0.03,,,D,,,D,,,D,,,,,,,,,,,
CN.HOLB,-128.13299999999998,50.64,0.55,16.8864,6.4,X,17.0979,6.4,X,34.3278,6.4,X,17.4364,0.2115,17.2299,3.812,1.5757,4.0451,1.7391400000000001,1.877959,1.7759759999999998,-19.1,13.1
PO.VI32,-127.236,50.617,0.06,24.5216,6.4,C,28.4392,6.4,C,48.3226,6.4,C,24.5816,3.9176,19.8834,3.5953,2.4775,3.6752,1.856841,3.471685,1.901448,59.6,44.5
PO.VI31,-127.10799999999999,50.582,0.06,34.0914,6.4,C,43.49,6.4,C,44.9542,6.4,C,34.1514,9.3986,1.4642,3.5442,1.5883,3.4379,1.7517919999999998,2.4444369999999997,1.90852,-49.3,23.0
PO.VI30,-127.00299999999999,50.559,0.01,31.1896,6.4,X,35.2357,6.4,X,47.026,6.4,X,31.1996,4.0461,11.7903,3.6234,3.0687,4.0486,1.688552,1.9466880000000002,1.787309,85.5,23.1
PO.VI50,-126.824,50.549,0.03,36.4249,6.4,C,36.4463,6.4,C,54.0008,6.4,C,36.4549,0.0214,17.5545,3.8223,1.7379,4.0466,1.802213,2.459693,1.819107,-89.2,23.4
CN.PACB,-127.493,50.435,0.02,20.3911,2.1,X,31.2529,3.6,X,36.2637,3.6,X,20.4111,10.8618,5.0108,3.5123,2.3855,3.2882,1.669988,1.770488,1.770482,-46.5,25.4
CN.MAYB,-127.17399999999999,50.403,1.42,23.8812,2.1,X,31.5903,3.6,X,47.1877,2.1,X,25.3012,7.7091,15.5974,3.9378,2.6505,4.0236,1.809132,3.48655,1.904364,-21.4,27.4
CN.NCSB,-126.056,50.403,1.3,36.412,6.4,X,36.4654,6.4,X,42.4753,6.4,C,37.712,0.0534,6.0099,3.5726,2.6578,3.9114,1.673291,1.7726689999999998,1.870149,-0.2,3.6
PO.VI52,-126.765,50.39,0.64,40.151,6.4,C,42.3829,6.4,C,53.9025,6.4,C,40.791,2.2319,11.5196,3.5398,2.8233,3.7361,1.859936,3.453476,1.883087,-44.7,41.1
PO.VI01,-125.92,50.355,0.01,53.039,6.4,X,57.2159,6.4,X,77.009,6.4,X,53.049,4.1769,19.7931,3.5005,1.8891,3.2607,1.838137,1.776507,1.890944,-86.7,44.9
PO.VI03,-126.181,50.343,0.29,38.7991,6.4,C,40.5523,6.4,C,54.459,6.4,C,39.0891,1.7532,13.9067,3.9297,1.3563,4.0475,1.7668270000000001,3.4518910000000003,1.779864,-58.1,11.3
PO.VI02,-126.071,50.331,0.52,41.5528,6.4,X,41.5571,6.4,X,60.6875,6.4,X,42.0728,0.0043,19.1304,3.9441,2.9278,3.9112,1.858624,3.4781410000000004,1.7700189999999998,-80.5,27.9
PO.VI04,-126.24799999999999,50.313,0.24,35.8802,6.4,C,38.3695,6.4,C,47.9894,6.4,C,36.1202,2.4893,9.6199,3.8172,2.4154,3.9394,1.699675,2.024427,1.7701930000000001,-36.4,15.3
PO.VI53,-126.757,50.312,0.29,27.6715,3.6,A,33.7887,2.1,B,40.6478,2.1,B,27.9615,6.1172,6.8591,3.8927,2.3018,3.5342,1.7587279999999998,2.996742,1.774404,-56.8,17.1
PO.VI05,-126.37100000000001,50.286,0.51,30.4913,1.4,B,32.3887,2.1,B,45.8564,3.6,C,31.0013,1.8974,13.4677,3.5046,1.5494,3.5586,1.7028189999999999,2.420614,1.772607,-46.1,15.8
PO.VI06,-126.45299999999999,50.266999999999996,0.33,28.5405,6.4,B,32.9655,6.4,B,43.0611,6.4,B,28.8705,4.425,10.0956,3.5699,2.4957,3.3603,1.7904419999999999,1.7700040000000001,1.82823,-38.3,14.7
PO.VI07,-126.54299999999999,50.248000000000005,0.39,32.0467,2.1,A,34.6132,2.1,B,45.3407,2.1,A,32.4367,2.5665,10.7275,3.9149,1.5847,3.2613,1.735932,3.4943519999999997,1.7700919999999998,-36.5,23.7
PO.VI10,-126.941,50.224,0.16,22.7304,6.4,C,27.9539,6.4,C,38.1505,6.4,C,22.8904,5.2235,10.1966,3.7996,2.2001,3.3436,1.744131,2.0825419999999997,1.780715,-45.8,24.5
PO.VI08,-126.601,50.203,0.2,30.2045,4.3,A,35.9497,6.4,B,48.4059,6.4,B,30.4045,5.7452,12.4562,3.7585,1.3176,3.2645,1.6709060000000002,2.805328,1.8648799999999999,-42.3,26.2
PO.VI09,-126.575,50.167,0.91,28.7127,2.9,A,32.3345,2.1,B,40.9187,6.4,C,29.6227,3.6218,8.5842,3.8715,2.1985,3.2616,1.781377,1.85713,1.772504,-48.0,24.3
PO.VW01,-126.661,50.165,0.41,27.6259,2.1,A,34.4709,2.1,A,46.1814,1.4,A,28.0359,6.845,11.7105,3.7175,2.3683,4.0476,1.7396909999999999,1.889794,1.909255,-39.7,29.9
CN.WOSB,-126.57,50.161,0.96,31.2128,1.4,A,36.4093,1.4,A,46.6939,3.6,A,32.1728,5.1965,10.2846,3.9534,1.6499,3.5844,1.681616,1.7715619999999999,1.78518,-37.2,28.4
CN.BPEB,-127.772,50.157,0.74,15.3931,3.6,A,19.5896,3.6,A,26.9078,3.6,A,16.1331,4.1965,7.3182,3.5236,2.9081,3.2669,1.7247419999999998,2.4897009999999997,1.7727509999999997,-59.9,29.5
PO.VW02,-126.809,50.141999999999996,0.45,28.6611,1.4,A,34.9409,1.4,A,39.6335,1.4,A,29.1111,6.2798,4.6926,3.8911,3.0888,3.7738,1.6883400000000002,2.210082,1.9084740000000002,-49.7,20.2
C8.WTRB,-126.035,50.13,0.35,32.2344,6.4,C,38.7744,6.4,C,46.1752,6.4,C,32.5844,6.54,7.4008,3.5162,1.827,3.4355,1.854957,3.493322,1.908339,-16.9,14.5
PO.VI54,-126.441,50.121,0.31,31.4285,2.1,A,35.7456,2.1,B,44.1362,6.4,C,31.7385,4.3171,8.3906,3.9517,2.3087,3.3367,1.675355,1.9484130000000002,1.770821,-43.7,27.0
